"Beep: Topspin"
""
730WAV1.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,TOPSPIN,SAME,F3,3.5,GROUND
,TOPSPIN,SAME,B3,2.0,GROUND
