"Beep: Flat"
""
095BASE.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,FLAT,SAME,F3,3.8,GROUND
,FLAT,SAME,B3,2.0,GROUND
