"Beep: Flat: Very Hard"
""
095BASE.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,FLAT,SAME,F4,4.4,GROUND
,FLAT,SAME,B4,4.0,GROUND
