"Beep: Flat: Hard"
""
095BASE.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,FLAT,SAME,F3,4.3,GROUND
,FLAT,SAME,B3,3.0,GROUND
