"Beep: CHIP: Easy"
""
095BASE.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,CHIP,SAME,F2,4.6,GROUND
,CHIP,SAME,B2,2.0,GROUND
