"Beep: Chip"
""
023Beep_chip.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,CHIP,SAME,F6,3.6,GROUND
,CHIP,SAME,B6,3.0,GROUND
