"Beep: Mini: Hard"
""
730WAV1.WAV
,SHOT_TYPE,ROTARY_TYPE,DELAY,SCORING_METHOD,SPEED,ELEVATION,SPIN
,CUSTOM,F4,4.0,GROUND,32,35,-2000
,CUSTOM,B4,2.0,GROUND,32,35,-2000
