"Beep: Random: Very Hard"
""
095BASE.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,RAND_GROUND,SAME,R3,4.2,GROUND
,RAND_GROUND,SAME,R3,4.0,GROUND
