Test of serve calibration
Serves are thrown at level 2.0 thru 3.5 (3.5 is highest level for serve)
163CWHL.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE
,SERVE,3.5,CENTER
,SERVE,3.0,CENTER
,SERVE,2.5,CENTER
,SERVE,2.0,CENTER
