Test of PASSING shot calibration
PASSING shots are thrown at level 7.0
012CalibratePass.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE
,PASS,6.0,F13
,PASS,6.5,B13
,PASS,7.0,F13
,PASS,7.0,B13
