"Beep: Topspin: Easy"
""
095BASE.WAV
,SHOT_TYPE,LEVEL,ROTARY_TYPE,DELAY,SCORING_METHOD
,TOPSPIN,SAME,F2,4.6,GROUND
,TOPSPIN,SAME,B2,2.0,GROUND
