"Set angle to just clear net."

012CalibratePass.WAV
,SHOT_TYPE,LEVEL,DELAY,ROTARY_TYPE
,PASS,7.0,3.0,F10
,PASS,7.0,3.0,B10
,PASS,7.0,3.0,F10
,PASS,7.0,3.0,B10
