"Beep: Test wheel servos"
""
730WAV1.WAV
,SHOT_TYPE,ROTARY_TYPE,SPEED,SPIN,ELEVATION,DELAY,SCORING_METHOD
,CUSTOM,F2,60.0,0.0,15.0,5.0,GROUND
,CUSTOM,F2,30.0,0.0,15.0,2.0,GROUND
